epoch,accuracy,bird_recall,cat_recall,dog_recall,learning_rate,loss,macro_f1,unknown_recall,val_accuracy,val_bird_recall,val_cat_recall,val_dog_recall,val_loss,val_macro_f1,val_unknown_recall
0,0.9626925587654114,0.9568474292755127,0.9688668847084045,0.9663243889808655,0.0010000000474974513,0.12421242147684097,0.9636211395263672,0.9605324864387512,0.9739977121353149,0.9893479943275452,0.9910802841186523,0.9941803812980652,0.09595363587141037,0.9750641584396362,0.9444546103477478
1,0.9699409008026123,0.962546169757843,0.9734506607055664,0.9746894240379333,0.0010000000474974513,0.09688075631856918,0.9706981778144836,0.9695014357566833,0.9761078357696533,0.9880568385124207,0.9920713305473328,0.9925638437271118,0.08414509147405624,0.9770204424858093,0.9512150287628174
2,0.9707647562026978,0.9635138511657715,0.9741840958595276,0.9743304252624512,0.0010000000474974513,0.09411352872848511,0.9714785814285278,0.9709624648094177,0.981553316116333,0.9870884418487549,0.9904195666313171,0.9941803812980652,0.06584218144416809,0.982169508934021,0.9663804173469543
3,0.9709310531616211,0.962044358253479,0.975284218788147,0.9746176600456238,0.0010000000474974513,0.0937473401427269,0.971687376499176,0.9714697599411011,0.981553316116333,0.9854745268821716,0.9924017190933228,0.9928871393203735,0.06575845181941986,0.9821903109550476,0.9669285416603088
4,0.9717246294021606,0.9635138511657715,0.9747341275215149,0.9754793047904968,0.0010000000474974513,0.09117521345615387,0.9723677635192871,0.9725857973098755,0.9820297956466675,0.9861201047897339,0.9914106130599976,0.9922405481338501,0.06257487088441849,0.982537567615509,0.9687557220458984
5,0.9721554517745972,0.9629045724868774,0.9765676856040955,0.9766281247138977,0.0010000000474974513,0.0907612144947052,0.9728831648826599,0.9724234342575073,0.9837995767593384,0.9857972860336304,0.9904195666313171,0.9941803812980652,0.05785595253109932,0.9842195510864258,0.9731408953666687
6,0.9722461700439453,0.9642665386199951,0.9766043424606323,0.9752997756004333,0.0010000000474974513,0.08959217369556427,0.9729642868041992,0.9726263880729675,0.9845483899116516,0.9835377931594849,0.9924017190933228,0.9912706017494202,0.05523266643285751,0.9850694537162781,0.9769778847694397
7,0.9720723032951355,0.9647682905197144,0.9763476252555847,0.975227952003479,0.0010000000474974513,0.09140357375144958,0.9728118181228638,0.9720581769943237,0.9832550287246704,0.9832149744033813,0.9907498955726624,0.9919172525405884,0.059199728071689606,0.9837073087692261,0.9742371439933777
8,0.9720496535301208,0.9634780287742615,0.9763109683990479,0.9746535420417786,0.0010000000474974513,0.09125464409589767,0.9727302193641663,0.9730727672576904,0.9851610064506531,0.9835377931594849,0.9917410016059875,0.9909473061561584,0.0530419684946537,0.9855475425720215,0.9791705012321472
9,0.9718153476715088,0.9638006091117859,0.9760175943374634,0.9747253656387329,0.0010000000474974513,0.0906047523021698,0.9725123643875122,0.9723828434944153,0.9845483899116516,0.9848289489746094,0.9917410016059875,0.9919172525405884,0.05685099586844444,0.9849634170532227,0.9762470126152039
10,0.9713315963745117,0.9630120992660522,0.9753941893577576,0.9744381308555603,0.0010000000474974513,0.09066255390644073,0.972018837928772,0.9720379114151001,0.9841399788856506,0.9835377931594849,0.9897588491439819,0.9909473061561584,0.05753185227513313,0.9844552278518677,0.9775260090827942
11,0.9732816219329834,0.9658793807029724,0.9767876863479614,0.9754074811935425,0.00020000000949949026,0.08529514074325562,0.9739161133766174,0.9743309020996094,0.9844122529029846,0.9851517081260681,0.9914106130599976,0.9903006553649902,0.056758902966976166,0.9847873449325562,0.9767951965332031
